"","Comparison","Z","P.unadj","P.adj","subtype","sig","sig.adjust"
"19","Chromatin histone acetylation - Cytoskeleton",0.857107159962026,0.391385664527735,0.735041369966722,"STAD_CIN","",""
"20","Chromatin histone methylation - Cytoskeleton",0.50898965094353,0.610759478209623,0.839794282538232,"STAD_CIN","",""
"21","Chromatin other - Cytoskeleton",0.692647182871648,0.488530992520234,0.783685133834542,"STAD_CIN","",""
"22","ABL signaling - DNA replication",-0.429076098727373,0.667867845528812,0.866727372568289,"STAD_CIN","",""
"23","Apoptosis regulation - DNA replication",-2.17809591815519,0.0293988964334785,0.199739561062751,"STAD_CIN","*",""
"24","Cell cycle - DNA replication",-0.436291380897023,0.662625334564889,0.869695751616417,"STAD_CIN","",""
"25","Chromatin histone acetylation - DNA replication",-0.23084687118944,0.81743376654942,0.912208696004425,"STAD_CIN","",""
"26","Chromatin histone methylation - DNA replication",-0.486879096483392,0.626344013260988,0.84611384247537,"STAD_CIN","",""
"27","Chromatin other - DNA replication",-0.663965547263521,0.506712362142522,0.796262283366821,"STAD_CIN","",""
"28","Cytoskeleton - DNA replication",-1.18051506955562,0.237795420483889,0.60363452892064,"STAD_CIN","",""
"29","ABL signaling - EGFR signaling",1.17832753176438,0.238666055907631,0.599259336028944,"STAD_CIN","",""
"30","Apoptosis regulation - EGFR signaling",1.60063760556027,0.109457208052442,0.421410251001901,"STAD_CIN","",""
"31","Cell cycle - EGFR signaling",2.67750746891726,0.00741721988213199,0.0856688896386244,"STAD_CIN","**","."
"32","Chromatin histone acetylation - EGFR signaling",1.90776838476138,0.05642115866532,0.277303992589126,"STAD_CIN",".",""
"33","Chromatin histone methylation - EGFR signaling",1.12221669691846,0.26177031504927,0.629884820587305,"STAD_CIN","",""
"34","Chromatin other - EGFR signaling",1.85443267328047,0.0636772839895637,0.294189052031784,"STAD_CIN",".",""
"35","Cytoskeleton - EGFR signaling",0.448886678767384,0.653513406178364,0.862637696155441,"STAD_CIN","",""
"36","DNA replication - EGFR signaling",3.63680062193339,0.00027604543282974,0.012753298996734,"STAD_CIN","***","*"
"37","ABL signaling - ERK MAPK signaling",0.17704329367723,0.859474383240243,0.923435267574401,"STAD_CIN","",""
"38","Apoptosis regulation - ERK MAPK signaling",-0.618676591524771,0.536129433920819,0.814775652866508,"STAD_CIN","",""
"39","Cell cycle - ERK MAPK signaling",0.790371846773349,0.429310638899249,0.768765562680051,"STAD_CIN","",""
"40","Chromatin histone acetylation - ERK MAPK signaling",0.584023975066794,0.559204181923189,0.828052346309337,"STAD_CIN","",""
"41","Chromatin histone methylation - ERK MAPK signaling",0.120136520709549,0.904375002541911,0.941038853996313,"STAD_CIN","",""
"42","Chromatin other - ERK MAPK signaling",0.309922529050396,0.756619870056869,0.900923659706891,"STAD_CIN","",""
"43","Cytoskeleton - ERK MAPK signaling",-0.562744754902624,0.573608703933049,0.823003792599591,"STAD_CIN","",""
"44","DNA replication - ERK MAPK signaling",1.45722079644075,0.145055441760028,0.46538620898009,"STAD_CIN","",""
"45","EGFR signaling - ERK MAPK signaling",-2.12929754754403,0.0332296505850016,0.21322359125376,"STAD_CIN","*",""
"46","ABL signaling - Genome integrity",-0.590286609080343,0.554998515461242,0.827126819816432,"STAD_CIN","",""
"47","Apoptosis regulation - Genome integrity",-2.31262802365882,0.0207430994042091,0.1545695471733,"STAD_CIN","*",""
"48","Cell cycle - Genome integrity",-0.733529069719371,0.463235804471365,0.775416455310763,"STAD_CIN","",""
"49","Chromatin histone acetylation - Genome integrity",-0.450511952660809,0.652341337634873,0.876109587172417,"STAD_CIN","",""
"50","Chromatin histone methylation - Genome integrity",-0.646841014740736,0.517734844445204,0.808086142343528,"STAD_CIN","",""
"51","Chromatin other - Genome integrity",-0.895266808142706,0.370644478983193,0.744511953435806,"STAD_CIN","",""
"52","Cytoskeleton - Genome integrity",-1.32549388266544,0.185007397052367,0.527613687890083,"STAD_CIN","",""
"53","DNA replication - Genome integrity",-0.402396256714076,0.687392424454091,0.877279834524282,"STAD_CIN","",""
"54","EGFR signaling - Genome integrity",-3.64367044789092,0.000268777518123006,0.0155219016716036,"STAD_CIN","***","*"
"55","ERK MAPK signaling - Genome integrity",-1.67255061266615,0.0944157962748759,0.382632437535023,"STAD_CIN",".",""
"56","ABL signaling - Hormone-related",1.12648369595009,0.259960837887027,0.632115300546349,"STAD_CIN","",""
"57","Apoptosis regulation - Hormone-related",1.17322068538349,0.240707318946259,0.597885921253612,"STAD_CIN","",""
"58","Cell cycle - Hormone-related",1.97134646791266,0.0486842596640919,0.249912532942338,"STAD_CIN","*",""
"59","Chromatin histone acetylation - Hormone-related",1.64958765462308,0.0990273016992996,0.394401839526521,"STAD_CIN",".",""
"60","Chromatin histone methylation - Hormone-related",1.07750614395226,0.28125420744963,0.66295634613127,"STAD_CIN","",""
"61","Chromatin other - Hormone-related",1.5332398989415,0.125216756854728,0.431717475126004,"STAD_CIN","",""
"62","Cytoskeleton - Hormone-related",0.489775519978301,0.624292755187219,0.853323233421584,"STAD_CIN","",""
"63","DNA replication - Hormone-related",2.40262993566904,0.0162776505989699,0.125337909612069,"STAD_CIN","*",""
"64","EGFR signaling - Hormone-related",0.149628892922461,0.881057411545412,0.937899825193503,"STAD_CIN","",""
"65","ERK MAPK signaling - Hormone-related",1.52613564287527,0.126976087070375,0.431345236959656,"STAD_CIN","",""
"66","Genome integrity - Hormone-related",2.53709362814245,0.0111777055250949,0.103281999051877,"STAD_CIN","*",""
"67","ABL signaling - IGF1R signaling",0.576761365872766,0.564100671430908,0.824729462661644,"STAD_CIN","",""
"68","Apoptosis regulation - IGF1R signaling",0.294040179787036,0.76872720072689,0.901400930801582,"STAD_CIN","",""
"69","Cell cycle - IGF1R signaling",1.35520541215914,0.175352120838933,0.512738479921436,"STAD_CIN","",""
"70","Chromatin histone acetylation - IGF1R signaling",1.05628695387926,0.290837134494844,0.671833780683089,"STAD_CIN","",""
"71","Chromatin histone methylation - IGF1R signaling",0.523109145791578,0.600898301356101,0.831182680318918,"STAD_CIN","",""
"72","Chromatin other - IGF1R signaling",0.870471791289232,0.384042628439059,0.745494514028762,"STAD_CIN","",""
"73","Cytoskeleton - IGF1R signaling",-0.120717495182672,0.903914801187286,0.94911054124665,"STAD_CIN","",""
"74","DNA replication - IGF1R signaling",1.90655079284616,0.0565787823278075,0.272285389952574,"STAD_CIN",".",""
"75","EGFR signaling - IGF1R signaling",-0.980955355125895,0.326614757992914,0.698592676818177,"STAD_CIN","",""
"76","ERK MAPK signaling - IGF1R signaling",0.762522163091779,0.445748420572966,0.780059736002691,"STAD_CIN","",""
"77","Genome integrity - IGF1R signaling",2.07542376590805,0.0379472774605858,0.219145527334883,"STAD_CIN","*",""
"78","Hormone-related - IGF1R signaling",-0.848492799017769,0.396163581106804,0.738014413190901,"STAD_CIN","",""
"79","ABL signaling - Metabolism",0.281620923987523,0.778234194316492,0.898860494435548,"STAD_CIN","",""
"80","Apoptosis regulation - Metabolism",-0.162624649459097,0.870813977889027,0.931287170797987,"STAD_CIN","",""
"81","Cell cycle - Metabolism",0.704052309968808,0.48140019782473,0.77764647340918,"STAD_CIN","",""
"82","Chromatin histone acetylation - Metabolism",0.614846307632237,0.538656224242008,0.813265279737934,"STAD_CIN","",""
"83","Chromatin histone methylation - Metabolism",0.232643371989693,0.81603834522767,0.915072124988309,"STAD_CIN","",""
"84","Chromatin other - Metabolism",0.399737545081177,0.689349835544003,0.87494402203662,"STAD_CIN","",""
"85","Cytoskeleton - Metabolism",-0.355087251984268,0.722524226623832,0.883085165873572,"STAD_CIN","",""
"86","DNA replication - Metabolism",1.0403296497682,0.298186773607416,0.662318699070318,"STAD_CIN","",""
"87","EGFR signaling - Metabolism",-1.14092030853377,0.253903087365885,0.623953331718291,"STAD_CIN","",""
"88","ERK MAPK signaling - Metabolism",0.202490064347976,0.839533625037259,0.919110271960222,"STAD_CIN","",""
"89","Genome integrity - Metabolism",1.22823784988578,0.21935769397329,0.575813946679887,"STAD_CIN","",""
"90","Hormone-related - Metabolism",-1.03474134699084,0.300789720998924,0.661737386197632,"STAD_CIN","",""
"91","IGF1R signaling - Metabolism",-0.346323591435824,0.729099540948533,0.886431547153217,"STAD_CIN","",""
"92","ABL signaling - Mitosis",-0.721959210575533,0.470319555855116,0.781610197140516,"STAD_CIN","",""
"93","Apoptosis regulation - Mitosis",-2.42194567230155,0.0154376582787113,0.122968933185597,"STAD_CIN","*",""
"94","Cell cycle - Mitosis",-0.952389876448516,0.340899291724782,0.709439066562384,"STAD_CIN","",""
"95","Chromatin histone acetylation - Mitosis",-0.624463787972334,0.532323044775026,0.81434849896047,"STAD_CIN","",""
"96","Chromatin histone methylation - Mitosis",-0.777494534465959,0.436867057799878,0.776279156552091,"STAD_CIN","",""
"97","Chromatin other - Mitosis",-1.07453370754745,0.282583545643757,0.659361606502101,"STAD_CIN","",""
"98","Cytoskeleton - Mitosis",-1.44391842115107,0.148761924230553,0.464378439152132,"STAD_CIN","",""
"99","DNA replication - Mitosis",-0.677809823893591,0.497892281439617,0.787761075428435,"STAD_CIN","",""
"100","EGFR signaling - Mitosis",-3.66584915207464,0.000246519214475365,0.0189819795146031,"STAD_CIN","***","*"
"101","ERK MAPK signaling - Mitosis",-1.83366268451417,0.0667040810065519,0.30213024926497,"STAD_CIN",".",""
"102","Genome integrity - Mitosis",-0.284618534938431,0.775936409503437,0.905259144420676,"STAD_CIN","",""
"103","Hormone-related - Mitosis",-2.64478780788282,0.00817421587508543,0.085829266688397,"STAD_CIN","**","."
"104","IGF1R signaling - Mitosis",-2.20704881408774,0.0273106492162692,0.191174544513884,"STAD_CIN","*",""
"105","Metabolism - Mitosis",-1.37749364993897,0.168359676713657,0.511724806853352,"STAD_CIN","",""
"106","ABL signaling - Other",-0.865425463959133,0.386805309736903,0.732393660239547,"STAD_CIN","",""
"107","Apoptosis regulation - Other",-2.72202687070822,0.00648828665508112,0.0832663454068744,"STAD_CIN","**","."
"108","Cell cycle - Other",-1.22079065981128,0.222165291124905,0.576631261234304,"STAD_CIN","",""
"109","Chromatin histone acetylation - Other",-0.814251801963925,0.415500714931736,0.749848946478367,"STAD_CIN","",""
"110","Chromatin histone methylation - Other",-0.920960787849558,0.357070899734688,0.723538402093972,"STAD_CIN","",""
"111","Chromatin other - Other",-1.29368202948147,0.195775275117941,0.532048100614639,"STAD_CIN","",""
"112","Cytoskeleton - Other",-1.58738467453467,0.11242554814141,0.418875832591381,"STAD_CIN","",""
"113","DNA replication - Other",-0.991783799789128,0.321303001977112,0.693654144455261,"STAD_CIN","",""
"114","EGFR signaling - Other",-3.94438180823717,8.00061009129832e-05,0.00924070465544956,"STAD_CIN","***","**"
"115","ERK MAPK signaling - Other",-2.12768101151386,0.0333635403230913,0.208296697692813,"STAD_CIN","*",""
"116","Genome integrity - Other",-0.571551041705631,0.567626171500557,0.824664437840432,"STAD_CIN","",""
"117","Hormone-related - Other",-2.83457582187442,0.0045886567580127,0.0815369008539179,"STAD_CIN","**","."
"118","IGF1R signaling - Other",-2.44711377281308,0.0144005373554159,0.118804433182181,"STAD_CIN","*",""
"119","Metabolism - Other",-1.56728166393056,0.117048869354449,0.415973674167349,"STAD_CIN","",""
"120","Mitosis - Other",-0.268400783362764,0.788390836591455,0.892736682610912,"STAD_CIN","",""
"121","ABL signaling - Other, kinases",0.184364171636604,0.853727774892392,0.921547271028704,"STAD_CIN","",""
"122","Apoptosis regulation - Other, kinases",-0.555571662114619,0.57850370814036,0.824903435681625,"STAD_CIN","",""
"123","Cell cycle - Other, kinases",0.767569255231315,0.442743133779679,0.780714991626762,"STAD_CIN","",""
"124","Chromatin histone acetylation - Other, kinases",0.58248390459101,0.560240779907093,0.82430331311171,"STAD_CIN","",""
"125","Chromatin histone methylation - Other, kinases",0.128253336790681,0.897948491893837,0.94715114898391,"STAD_CIN","",""
"126","Chromatin other - Other, kinases",0.314591257074365,0.753072018209526,0.901345265318138,"STAD_CIN","",""
"127","Cytoskeleton - Other, kinases",-0.545076681360395,0.585700779735456,0.819981091629639,"STAD_CIN","",""
"128","DNA replication - Other, kinases",1.37021542860007,0.170619663506551,0.511858990519653,"STAD_CIN","",""
"129","EGFR signaling - Other, kinases",-1.98792672025556,0.0468197950747273,0.245803924142319,"STAD_CIN","*",""
"130","ERK MAPK signaling - Other, kinases",0.0207828509520712,0.983418877743239,0.992007688902568,"STAD_CIN","",""
"131","Genome integrity - Other, kinases",1.59054855961611,0.111711209001224,0.42303752916857,"STAD_CIN","",""
"132","Hormone-related - Other, kinases",-1.47491337309283,0.140235834503683,0.462778253862154,"STAD_CIN","",""
"133","IGF1R signaling - Other, kinases",-0.714354248157882,0.475008155338927,0.78376345630923,"STAD_CIN","",""
"134","Metabolism - Other, kinases",-0.184364171636604,0.853727774892392,0.925873784038228,"STAD_CIN","",""
"135","Mitosis - Other, kinases",1.75591093838869,0.0791036169514935,0.338387694736944,"STAD_CIN",".",""
"136","Other - Other, kinases",2.03444359455123,0.0419068902229023,0.230487896225963,"STAD_CIN","*",""
"137","ABL signaling - PI3K/MTOR signaling",-0.571360400896035,0.567755365985617,0.819696809641734,"STAD_CIN","",""
"138","Apoptosis regulation - PI3K/MTOR signaling",-2.52913630788557,0.0114343610429829,0.101589900035733,"STAD_CIN","*",""
"139","Cell cycle - PI3K/MTOR signaling",-0.735462613512126,0.462057801053988,0.77909016090125,"STAD_CIN","",""
"140","Chromatin histone acetylation - PI3K/MTOR signaling",-0.425244236401601,0.67065863961701,0.865486847773907,"STAD_CIN","",""
"141","Chromatin histone methylation - PI3K/MTOR signaling",-0.629163398652054,0.529242088217292,0.81503281585463,"STAD_CIN","",""
"142","Chromatin other - PI3K/MTOR signaling",-0.894492464215774,0.371058459944543,0.738918140061979,"STAD_CIN","",""
"143","Cytoskeleton - PI3K/MTOR signaling",-1.32279937172428,0.18590210623335,0.523699835852485,"STAD_CIN","",""
"144","DNA replication - PI3K/MTOR signaling",-0.37644887900665,0.706583213631703,0.872838087427398,"STAD_CIN","",""
"145","EGFR signaling - PI3K/MTOR signaling",-3.95176035103181,7.75784100159251e-05,0.0179206127136787,"STAD_CIN","***","*"
"146","ERK MAPK signaling - PI3K/MTOR signaling",-1.79773161946301,0.0722195481545665,0.320821454302017,"STAD_CIN",".",""
"147","Genome integrity - PI3K/MTOR signaling",0.0738047360799338,0.941165758459182,0.970577188411032,"STAD_CIN","",""
"148","Hormone-related - PI3K/MTOR signaling",-2.59702730088121,0.00940344497763767,0.0905081579097626,"STAD_CIN","**","."
"149","IGF1R signaling - PI3K/MTOR signaling",-2.16479259335865,0.030403572285048,0.200663577081317,"STAD_CIN","*",""
"150","Metabolism - PI3K/MTOR signaling",-1.23472701498036,0.216932118170859,0.575992175832971,"STAD_CIN","",""
"151","Mitosis - PI3K/MTOR signaling",0.378638591278488,0.70495626054669,0.880242682088029,"STAD_CIN","",""
"152","Other - PI3K/MTOR signaling",0.692612567174026,0.488552721521738,0.778315025320839,"STAD_CIN","",""
"153","Other, kinases - PI3K/MTOR signaling",-1.6851751576985,0.0919547825019281,0.379313477820454,"STAD_CIN",".",""
"154","ABL signaling - Protein stability and degradation",0.885261631339594,0.376015538709689,0.742389653349899,"STAD_CIN","",""
"155","Apoptosis regulation - Protein stability and degradation",0.877050881088918,0.380459002242306,0.744796860321803,"STAD_CIN","",""
"156","Cell cycle - Protein stability and degradation",1.88954354609617,0.0588190335596418,0.277289729638312,"STAD_CIN",".",""
"157","Chromatin histone acetylation - Protein stability and degradation",1.45455908403046,0.145791365262697,0.461339799666891,"STAD_CIN","",""
"158","Chromatin histone methylation - Protein stability and degradation",0.831609411258406,0.405629448170159,0.749603220218455,"STAD_CIN","",""
"159","Chromatin other - Protein stability and degradation",1.32206993864981,0.186144862901851,0.518065823256959,"STAD_CIN","",""
"160","Cytoskeleton - Protein stability and degradation",0.187782770284156,0.851046942812537,0.927320017875925,"STAD_CIN","",""
"161","DNA replication - Protein stability and degradation",2.50978749873081,0.0120803833770227,0.103354391114528,"STAD_CIN","*",""
"162","EGFR signaling - Protein stability and degradation",-0.430663326640637,0.666713188193333,0.870117211709944,"STAD_CIN","",""
"163","ERK MAPK signaling - Protein stability and degradation",1.33649339130996,0.18138805915039,0.52375802079675,"STAD_CIN","",""
"164","Genome integrity - Protein stability and degradation",2.6386656138831,0.00832330343516007,0.0835949171096512,"STAD_CIN","**","."
"165","Hormone-related - Protein stability and degradation",-0.450220668866571,0.652551334324617,0.871325770109748,"STAD_CIN","",""
"166","IGF1R signaling - Protein stability and degradation",0.487781748820883,0.625704440353196,0.850221916009343,"STAD_CIN","",""
"167","Metabolism - Protein stability and degradation",0.744595721587021,0.456516155146588,0.77540611646222,"STAD_CIN","",""
"168","Mitosis - Protein stability and degradation",2.74138694802478,0.00611804104362581,0.0831333812398566,"STAD_CIN","**","."
"169","Other - Protein stability and degradation",2.98145190675011,0.00286885103395516,0.0828380736054554,"STAD_CIN","**","."
"170","Other, kinases - Protein stability and degradation",1.26464627664314,0.205998156269584,0.553320629049698,"STAD_CIN","",""
"171","PI3K/MTOR signaling - Protein stability and degradation",2.76802929924331,0.00563963853550929,0.0814222813564153,"STAD_CIN","**","."
"172","ABL signaling - RTK signaling",1.09957740280874,0.271516292126618,0.646600654445863,"STAD_CIN","",""
"173","Apoptosis regulation - RTK signaling",1.21346480316028,0.224952163246272,0.577377218998764,"STAD_CIN","",""
"174","Cell cycle - RTK signaling",2.12079021226471,0.0339394607409055,0.206316195556557,"STAD_CIN","*",""
"175","Chromatin histone acetylation - RTK signaling",1.68656388883565,0.0916872405111471,0.385086410146818,"STAD_CIN",".",""
"176","Chromatin histone methylation - RTK signaling",1.04762886409337,0.294809633537607,0.661175003370749,"STAD_CIN","",""
"177","Chromatin other - RTK signaling",1.57952605193002,0.114215445778694,0.418789967855213,"STAD_CIN","",""
"178","Cytoskeleton - RTK signaling",0.424246399508884,0.671386125176677,0.861612193976736,"STAD_CIN","",""
"179","DNA replication - RTK signaling",2.67747408751836,0.00741795901989278,0.0815975492188206,"STAD_CIN","**","."
"180","EGFR signaling - RTK signaling",0.0144877552600036,0.988440848126899,0.988440848126899,"STAD_CIN","",""
"181","ERK MAPK signaling - RTK signaling",1.6245939022803,0.104249117280757,0.408161798167033,"STAD_CIN","",""
"182","Genome integrity - RTK signaling",2.80024690299481,0.00510635331427873,0.0786378410398924,"STAD_CIN","**","."
"183","Hormone-related - RTK signaling",-0.120468849202547,0.904111754637297,0.945021788783781,"STAD_CIN","",""
"184","IGF1R signaling - RTK signaling",0.818112585798151,0.413292902927165,0.751737484851773,"STAD_CIN","",""
"185","Metabolism - RTK signaling",1.01303350465778,0.311044157681969,0.677841513439008,"STAD_CIN","",""
"186","Mitosis - RTK signaling",2.8984132900951,0.00375056000436252,0.0721982800839784,"STAD_CIN","**","."
"187","Other - RTK signaling",3.11756161202912,0.00182353826823899,0.0601767628518867,"STAD_CIN","**","."
"188","Other, kinases - RTK signaling",1.5543291714661,0.120105918588242,0.420370715058848,"STAD_CIN","",""
"189","PI3K/MTOR signaling - RTK signaling",2.90800100447061,0.00363747169240144,0.0840255960944733,"STAD_CIN","**","."
"190","Protein stability and degradation - RTK signaling",0.366514438437571,0.713981240731738,0.877285460686338,"STAD_CIN","",""
"191","ABL signaling - Unclassified",0.597408195226796,0.550234883545309,0.825352325317963,"STAD_CIN","",""
"192","Apoptosis regulation - Unclassified",0.33260174204268,0.739434928213387,0.894290410561741,"STAD_CIN","",""
"193","Cell cycle - Unclassified",1.30075133018902,0.19334358611937,0.531694861828267,"STAD_CIN","",""
"194","Chromatin histone acetylation - Unclassified",1.05136450213132,0.29309121280012,0.66376539369439,"STAD_CIN","",""
"195","Chromatin histone methylation - Unclassified",0.545459656511423,0.585437420224042,0.824610024827766,"STAD_CIN","",""
"196","Chromatin other - Unclassified",0.869351547961484,0.384654875977782,0.74046063625723,"STAD_CIN","",""
"197","Cytoskeleton - Unclassified",-0.0779228080730604,0.937889456352619,0.97153571487648,"STAD_CIN","",""
"198","DNA replication - Unclassified",1.77217567407045,0.0763654003289973,0.33283787690563,"STAD_CIN",".",""
"199","EGFR signaling - Unclassified",-0.825802049820207,0.408916391124243,0.749680050394446,"STAD_CIN","",""
"200","ERK MAPK signaling - Unclassified",0.754811320751771,0.450362200296728,0.776370658720479,"STAD_CIN","",""
"201","Genome integrity - Unclassified",1.94374422468921,0.0519263026999613,0.260760346167197,"STAD_CIN",".",""
"202","Hormone-related - Unclassified",-0.755668235906883,0.44984813310284,0.781315178547039,"STAD_CIN","",""
"203","IGF1R signaling - Unclassified",0.0589041061774669,0.953028487476162,0.974113188526519,"STAD_CIN","",""
"204","Metabolism - Unclassified",0.377834117953442,0.705553826740908,0.876252333210482,"STAD_CIN","",""
"205","Mitosis - Unclassified",2.07837440801941,0.0376748879595249,0.22315125945257,"STAD_CIN","*",""
"206","Other - Unclassified",2.29752272995343,0.0215889679341528,0.155845362274666,"STAD_CIN","*",""
"207","Other, kinases - Unclassified",0.714039366385894,0.475202837317267,0.778523797307013,"STAD_CIN","",""
"208","PI3K/MTOR signaling - Unclassified",2.0027025910227,0.0452092205281101,0.242868138185894,"STAD_CIN","*",""
"209","Protein stability and degradation - Unclassified",-0.392694041183112,0.694545472292485,0.8767213338774,"STAD_CIN","",""
"210","RTK signaling - Unclassified",-0.710174503968536,0.477595929383576,0.776934223152156,"STAD_CIN","",""
"211","ABL signaling - WNT signaling",0.979153016481672,0.327504379310068,0.694068913950695,"STAD_CIN","",""
"212","Apoptosis regulation - WNT signaling",1.05448892061558,0.291659130494863,0.667061971725876,"STAD_CIN","",""
"213","Cell cycle - WNT signaling",2.05216819555527,0.0401533192234201,0.226229676600245,"STAD_CIN","*",""
"214","Chromatin histone acetylation - WNT signaling",1.575772341033,0.115078278838057,0.415360662681112,"STAD_CIN","",""
"215","Chromatin histone methylation - WNT signaling",0.925500796400484,0.354705469628936,0.725105871542337,"STAD_CIN","",""
"216","Chromatin other - WNT signaling",1.4595128530639,0.144424005641435,0.469886553565795,"STAD_CIN","",""
"217","Cytoskeleton - WNT signaling",0.281674155426234,0.778193373377761,0.903329996232476,"STAD_CIN","",""
"218","DNA replication - WNT signaling",2.69338127878266,0.0070731330752513,0.0859944073885816,"STAD_CIN","**","."
"219","EGFR signaling - WNT signaling",-0.263183144058167,0.792409422064309,0.892910129252952,"STAD_CIN","",""
"220","ERK MAPK signaling - WNT signaling",1.51118028685462,0.130742523506083,0.437703230868192,"STAD_CIN","",""
"221","Genome integrity - WNT signaling",2.8100870458755,0.00495281026283939,0.08172136933685,"STAD_CIN","**","."
"222","Hormone-related - WNT signaling",-0.329007411864033,0.742150085780427,0.892899321954576,"STAD_CIN","",""
"223","IGF1R signaling - WNT signaling",0.636237063679412,0.524621918947819,0.813340021992927,"STAD_CIN","",""
"224","Metabolism - WNT signaling",0.86580897858956,0.386594924601581,0.738044856057564,"STAD_CIN","",""
"225","Mitosis - WNT signaling",2.90401159748387,0.00368414512686484,0.0773670476641616,"STAD_CIN","**","."
"226","Other - WNT signaling",3.14407655620921,0.00166611845888232,0.0641455606669692,"STAD_CIN","**","."
"227","Other, kinases - WNT signaling",1.43212645922561,0.152107633373023,0.468491510788912,"STAD_CIN","",""
"228","PI3K/MTOR signaling - WNT signaling",2.95162307929516,0.00316108537603842,0.0811345246516527,"STAD_CIN","**","."
"229","Protein stability and degradation - WNT signaling",0.14845531485853,0.881983448695074,0.934578791965881,"STAD_CIN","",""
"230","RTK signaling - WNT signaling",-0.229071524023482,0.818813325568829,0.909355183684613,"STAD_CIN","",""
"231","Unclassified - WNT signaling",0.530136955597202,0.596016978066621,0.829397120080659,"STAD_CIN","",""
"232","ABL signaling - Apoptosis regulation",0.657724775934238,0.51071499898541,0.830811019476265,"STAD_EBV","",""
"233","ABL signaling - Cell cycle",0.24528101384938,0.806238851562308,0.945386673659356,"STAD_EBV","",""
"234","Apoptosis regulation - Cell cycle",-0.822803285953765,0.410619867759591,0.790443245437213,"STAD_EBV","",""
"235","ABL signaling - Chromatin histone acetylation",0.367331639983726,0.713371655901136,0.885961572651411,"STAD_EBV","",""
"236","Apoptosis regulation - Chromatin histone acetylation",-0.309761237064947,0.756742530994804,0.915222642197905,"STAD_EBV","",""
"237","Cell cycle - Chromatin histone acetylation",0.226521177989964,0.820796089608816,0.934009343347964,"STAD_EBV","",""
"238","ABL signaling - Chromatin histone methylation",-0.402950140330294,0.68698490430793,0.867177666093617,"STAD_EBV","",""
"239","Apoptosis regulation - Chromatin histone methylation",-1.20106263431469,0.229726906006218,0.624316650440427,"STAD_EBV","",""
"240","Cell cycle - Chromatin histone methylation",-0.772866590808423,0.439601338693303,0.79958983652089,"STAD_EBV","",""
"241","Chromatin histone acetylation - Chromatin histone methylation",-0.832618383963111,0.40505998743567,0.786292916786889,"STAD_EBV","",""
"242","ABL signaling - Chromatin other",0.207794154861494,0.835389696749305,0.941341560727265,"STAD_EBV","",""
"243","Apoptosis regulation - Chromatin other",-0.683428237074001,0.494336282281719,0.815654865764836,"STAD_EBV","",""
"244","Cell cycle - Chromatin other",-0.0353465035377449,0.971803442018327,0.988927731745522,"STAD_EBV","",""
"245","Chromatin histone acetylation - Chromatin other",-0.229985984841225,0.818102660313164,0.935553042239312,"STAD_EBV","",""
"246","Chromatin histone methylation - Chromatin other",0.701305272657543,0.483112523920136,0.820580831070231,"STAD_EBV","",""
"247","ABL signaling - Cytoskeleton",0.0424158042452941,0.966167229721395,0.991931689180632,"STAD_EBV","",""
