"","DRUG_ID","SCREENING_SITE","DRUG_NAME","SYNONYMS","TARGET","TARGET_PATHWAY","drug_name","subtype","value"
"32",1006,"SANGER","Cytarabine","Ara-Cytidine, Arabinosyl Cytosine, U-19920","Antimetabolite","Other","cytarabine..GDSC2.1006.","High_cal",-0.0858790497092273
"33",1006,"SANGER","Cytarabine","Ara-Cytidine, Arabinosyl Cytosine, U-19920","Antimetabolite","Other","cytarabine..GDSC2.1006.","MSS_TP53neg",-0.00526243946596408
"34",1006,"SANGER","Cytarabine","Ara-Cytidine, Arabinosyl Cytosine, U-19920","Antimetabolite","Other","cytarabine..GDSC2.1006.","STAD_CIN",0.209275775196905
"35",1006,"SANGER","Cytarabine","Ara-Cytidine, Arabinosyl Cytosine, U-19920","Antimetabolite","Other","cytarabine..GDSC2.1006.","EMT",0.0441451396471004
"36",1006,"SANGER","Cytarabine","Ara-Cytidine, Arabinosyl Cytosine, U-19920","Antimetabolite","Other","cytarabine..GDSC2.1006.","STAD_EBV",-0.376710867380367
"37",1006,"SANGER","Cytarabine","Ara-Cytidine, Arabinosyl Cytosine, U-19920","Antimetabolite","Other","cytarabine..GDSC2.1006.","STAD_GS",-0.186119798472894
"38",1006,"SANGER","Cytarabine","Ara-Cytidine, Arabinosyl Cytosine, U-19920","Antimetabolite","Other","cytarabine..GDSC2.1006.","MSS_TP53pos",0.307880761976372
"39",1006,"SANGER","Cytarabine","Ara-Cytidine, Arabinosyl Cytosine, U-19920","Antimetabolite","Other","cytarabine..GDSC2.1006.","STAD_MSI",0.0116948949449475
"40",1006,"SANGER","Cytarabine","Ara-Cytidine, Arabinosyl Cytosine, U-19920","Antimetabolite","Other","cytarabine..GDSC2.1006.","Low_cal",0.0858790497092273
"41",1007,"SANGER","Docetaxel","RP-56976, Taxotere","Microtubule stabiliser","Mitosis","docetaxel..GDSC2.1007.","STAD_CIN",0.0366044447886298
"42",1007,"SANGER","Docetaxel","RP-56976, Taxotere","Microtubule stabiliser","Mitosis","docetaxel..GDSC2.1007.","STAD_GS",-0.0793285435071653
"43",1007,"SANGER","Docetaxel","RP-56976, Taxotere","Microtubule stabiliser","Mitosis","docetaxel..GDSC2.1007.","Low_cal",0.0515246265724966
"44",1007,"SANGER","Docetaxel","RP-56976, Taxotere","Microtubule stabiliser","Mitosis","docetaxel..GDSC2.1007.","EMT",-0.0652334257050134
"45",1007,"SANGER","Docetaxel","RP-56976, Taxotere","Microtubule stabiliser","Mitosis","docetaxel..GDSC2.1007.","MSS_TP53pos",0.031550393435611
"46",1007,"SANGER","Docetaxel","RP-56976, Taxotere","Microtubule stabiliser","Mitosis","docetaxel..GDSC2.1007.","MSS_TP53neg",-0.0669395676658868
"47",1007,"SANGER","Docetaxel","RP-56976, Taxotere","Microtubule stabiliser","Mitosis","docetaxel..GDSC2.1007.","High_cal",-0.0515246265724966
"48",1007,"SANGER","Docetaxel","RP-56976, Taxotere","Microtubule stabiliser","Mitosis","docetaxel..GDSC2.1007.","STAD_EBV",0.00979315336464711
"49",1007,"SANGER","Docetaxel","RP-56976, Taxotere","Microtubule stabiliser","Mitosis","docetaxel..GDSC2.1007.","MSI",0.10717213073596
"50",1007,"SANGER","Docetaxel","RP-56976, Taxotere","Microtubule stabiliser","Mitosis","docetaxel..GDSC2.1007.","STAD_MSI",-0.00324192417562033
"51",1010,"SANGER","Gefitinib","ZD-1839, Iressa","EGFR","EGFR signaling","gefitinib..GDSC2.1010.","MSS_TP53neg",-0.0915856840170527
"52",1010,"SANGER","Gefitinib","ZD-1839, Iressa","EGFR","EGFR signaling","gefitinib..GDSC2.1010.","STAD_CIN",-0.378773650460141
"53",1010,"SANGER","Gefitinib","ZD-1839, Iressa","EGFR","EGFR signaling","gefitinib..GDSC2.1010.","MSS_TP53pos",-0.206595930071386
"54",1010,"SANGER","Gefitinib","ZD-1839, Iressa","EGFR","EGFR signaling","gefitinib..GDSC2.1010.","STAD_GS",0.29607861775403
"55",1010,"SANGER","Gefitinib","ZD-1839, Iressa","EGFR","EGFR signaling","gefitinib..GDSC2.1010.","MSI",0.42978134431677
"56",1010,"SANGER","Gefitinib","ZD-1839, Iressa","EGFR","EGFR signaling","gefitinib..GDSC2.1010.","STAD_EBV",0.0510619321557896
"57",1010,"SANGER","Gefitinib","ZD-1839, Iressa","EGFR","EGFR signaling","gefitinib..GDSC2.1010.","STAD_MSI",0.257452082852515
"58",1010,"SANGER","Gefitinib","ZD-1839, Iressa","EGFR","EGFR signaling","gefitinib..GDSC2.1010.","Low_cal",-0.456852560405005
"59",1010,"SANGER","Gefitinib","ZD-1839, Iressa","EGFR","EGFR signaling","gefitinib..GDSC2.1010.","EMT",-0.0171445302727737
"60",1010,"SANGER","Gefitinib","ZD-1839, Iressa","EGFR","EGFR signaling","gefitinib..GDSC2.1010.","High_cal",0.456852560405005
"61",1011,"SANGER","Navitoclax","ABT-263, ABT263, ABT 263","BCL2, BCL-XL, BCL-W","Apoptosis regulation","navitoclax..GDSC2.1011.","STAD_GS",0.0015588366220657
"62",1011,"SANGER","Navitoclax","ABT-263, ABT263, ABT 263","BCL2, BCL-XL, BCL-W","Apoptosis regulation","navitoclax..GDSC2.1011.","MSS_TP53pos",-0.203613163563613
"63",1011,"SANGER","Navitoclax","ABT-263, ABT263, ABT 263","BCL2, BCL-XL, BCL-W","Apoptosis regulation","navitoclax..GDSC2.1011.","EMT",0.219187508934389
"64",1011,"SANGER","Navitoclax","ABT-263, ABT263, ABT 263","BCL2, BCL-XL, BCL-W","Apoptosis regulation","navitoclax..GDSC2.1011.","High_cal",0.377000065591421
"65",1011,"SANGER","Navitoclax","ABT-263, ABT263, ABT 263","BCL2, BCL-XL, BCL-W","Apoptosis regulation","navitoclax..GDSC2.1011.","MSS_TP53neg",0.308636970095561
"66",1011,"SANGER","Navitoclax","ABT-263, ABT263, ABT 263","BCL2, BCL-XL, BCL-W","Apoptosis regulation","navitoclax..GDSC2.1011.","STAD_CIN",0.0477245429139692
"67",1011,"SANGER","Navitoclax","ABT-263, ABT263, ABT 263","BCL2, BCL-XL, BCL-W","Apoptosis regulation","navitoclax..GDSC2.1011.","STAD_MSI",0.143058756354538
"68",1011,"SANGER","Navitoclax","ABT-263, ABT263, ABT 263","BCL2, BCL-XL, BCL-W","Apoptosis regulation","navitoclax..GDSC2.1011.","STAD_EBV",-0.490163221543377
"69",1011,"SANGER","Navitoclax","ABT-263, ABT263, ABT 263","BCL2, BCL-XL, BCL-W","Apoptosis regulation","navitoclax..GDSC2.1011.","Low_cal",-0.377000065591421
"70",1011,"SANGER","Navitoclax","ABT-263, ABT263, ABT 263","BCL2, BCL-XL, BCL-W","Apoptosis regulation","navitoclax..GDSC2.1011.","MSI",-0.247711763076633
"71",1012,"SANGER","Vorinostat","Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683","HDAC inhibitor Class I, IIa, IIb, IV","Chromatin histone acetylation","vorinostat..GDSC2.1012.","EMT",-0.176691158635325
"72",1012,"SANGER","Vorinostat","Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683","HDAC inhibitor Class I, IIa, IIb, IV","Chromatin histone acetylation","vorinostat..GDSC2.1012.","MSS_TP53neg",0.163205976039942
"73",1012,"SANGER","Vorinostat","Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683","HDAC inhibitor Class I, IIa, IIb, IV","Chromatin histone acetylation","vorinostat..GDSC2.1012.","MSS_TP53pos",-0.19021391857418
"74",1012,"SANGER","Vorinostat","Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683","HDAC inhibitor Class I, IIa, IIb, IV","Chromatin histone acetylation","vorinostat..GDSC2.1012.","Low_cal",-0.309516110057248
"75",1012,"SANGER","Vorinostat","Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683","HDAC inhibitor Class I, IIa, IIb, IV","Chromatin histone acetylation","vorinostat..GDSC2.1012.","STAD_GS",-0.138281948298688
"76",1012,"SANGER","Vorinostat","Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683","HDAC inhibitor Class I, IIa, IIb, IV","Chromatin histone acetylation","vorinostat..GDSC2.1012.","STAD_CIN",0.0603100177217428
"77",1012,"SANGER","Vorinostat","Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683","HDAC inhibitor Class I, IIa, IIb, IV","Chromatin histone acetylation","vorinostat..GDSC2.1012.","MSI",0.249533316540052
"78",1012,"SANGER","Vorinostat","Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683","HDAC inhibitor Class I, IIa, IIb, IV","Chromatin histone acetylation","vorinostat..GDSC2.1012.","High_cal",0.309516110057248
"79",1012,"SANGER","Vorinostat","Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683","HDAC inhibitor Class I, IIa, IIb, IV","Chromatin histone acetylation","vorinostat..GDSC2.1012.","STAD_MSI",-0.00188247829963306
"80",1012,"SANGER","Vorinostat","Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683","HDAC inhibitor Class I, IIa, IIb, IV","Chromatin histone acetylation","vorinostat..GDSC2.1012.","STAD_EBV",0.0181164693712613
"81",1013,"SANGER","Nilotinib","Tasigna, AMN 107","ABL","ABL signaling","nilotinib..GDSC2.1013.","EMT",-0.296301352446243
"82",1013,"SANGER","Nilotinib","Tasigna, AMN 107","ABL","ABL signaling","nilotinib..GDSC2.1013.","Low_cal",0.0521529832242421
"83",1013,"SANGER","Nilotinib","Tasigna, AMN 107","ABL","ABL signaling","nilotinib..GDSC2.1013.","High_cal",-0.0521529832242421
"84",1013,"SANGER","Nilotinib","Tasigna, AMN 107","ABL","ABL signaling","nilotinib..GDSC2.1013.","STAD_EBV",0.00348687038287908
"85",1013,"SANGER","Nilotinib","Tasigna, AMN 107","ABL","ABL signaling","nilotinib..GDSC2.1013.","MSS_TP53neg",-0.24854952736707
"86",1013,"SANGER","Nilotinib","Tasigna, AMN 107","ABL","ABL signaling","nilotinib..GDSC2.1013.","MSI",-0.0043167818290007
"87",1013,"SANGER","Nilotinib","Tasigna, AMN 107","ABL","ABL signaling","nilotinib..GDSC2.1013.","MSS_TP53pos",0.395576087619764
"88",1013,"SANGER","Nilotinib","Tasigna, AMN 107","ABL","ABL signaling","nilotinib..GDSC2.1013.","STAD_CIN",-0.0249969792408714
"89",1013,"SANGER","Nilotinib","Tasigna, AMN 107","ABL","ABL signaling","nilotinib..GDSC2.1013.","STAD_MSI",0.129598394248791
"90",1013,"SANGER","Nilotinib","Tasigna, AMN 107","ABL","ABL signaling","nilotinib..GDSC2.1013.","STAD_GS",-0.187601593330213
"91",1017,"SANGER","Olaparib","AZD2281, KU0059436,  Lynparza","PARP1, PARP2","Genome integrity","olaparib..GDSC2.1017.","EMT",-0.085211252327579
"92",1017,"SANGER","Olaparib","AZD2281, KU0059436,  Lynparza","PARP1, PARP2","Genome integrity","olaparib..GDSC2.1017.","STAD_EBV",-0.0654099866746164
"93",1017,"SANGER","Olaparib","AZD2281, KU0059436,  Lynparza","PARP1, PARP2","Genome integrity","olaparib..GDSC2.1017.","High_cal",0.137197691402134
"94",1017,"SANGER","Olaparib","AZD2281, KU0059436,  Lynparza","PARP1, PARP2","Genome integrity","olaparib..GDSC2.1017.","MSS_TP53pos",0.406376147434755
"95",1017,"SANGER","Olaparib","AZD2281, KU0059436,  Lynparza","PARP1, PARP2","Genome integrity","olaparib..GDSC2.1017.","MSI",-0.100012660070208
"96",1017,"SANGER","Olaparib","AZD2281, KU0059436,  Lynparza","PARP1, PARP2","Genome integrity","olaparib..GDSC2.1017.","STAD_MSI",-0.0245249728028872
"97",1017,"SANGER","Olaparib","AZD2281, KU0059436,  Lynparza","PARP1, PARP2","Genome integrity","olaparib..GDSC2.1017.","Low_cal",-0.137197691402134
"98",1017,"SANGER","Olaparib","AZD2281, KU0059436,  Lynparza","PARP1, PARP2","Genome integrity","olaparib..GDSC2.1017.","STAD_CIN",0.185598283328343
"99",1017,"SANGER","Olaparib","AZD2281, KU0059436,  Lynparza","PARP1, PARP2","Genome integrity","olaparib..GDSC2.1017.","STAD_GS",-0.329222123298073
"100",1017,"SANGER","Olaparib","AZD2281, KU0059436,  Lynparza","PARP1, PARP2","Genome integrity","olaparib..GDSC2.1017.","MSS_TP53neg",-0.291657664389848
"101",1022,"SANGER","AZD7762","AZD-7762, AZD 7762","CHEK1, CHEK2","Cell cycle","AZD7762..GDSC2.1022.","High_cal",-0.36568037800921
"102",1022,"SANGER","AZD7762","AZD-7762, AZD 7762","CHEK1, CHEK2","Cell cycle","AZD7762..GDSC2.1022.","MSI",0.0640353066997971
"103",1022,"SANGER","AZD7762","AZD-7762, AZD 7762","CHEK1, CHEK2","Cell cycle","AZD7762..GDSC2.1022.","STAD_EBV",0.078944660823947
"104",1022,"SANGER","AZD7762","AZD-7762, AZD 7762","CHEK1, CHEK2","Cell cycle","AZD7762..GDSC2.1022.","STAD_CIN",-0.218632502311722
"105",1022,"SANGER","AZD7762","AZD-7762, AZD 7762","CHEK1, CHEK2","Cell cycle","AZD7762..GDSC2.1022.","EMT",-0.0252229515746181
"106",1022,"SANGER","AZD7762","AZD-7762, AZD 7762","CHEK1, CHEK2","Cell cycle","AZD7762..GDSC2.1022.","MSS_TP53pos",0.0421699139910181
"107",1022,"SANGER","AZD7762","AZD-7762, AZD 7762","CHEK1, CHEK2","Cell cycle","AZD7762..GDSC2.1022.","MSS_TP53neg",-0.0767691131101375
"108",1022,"SANGER","AZD7762","AZD-7762, AZD 7762","CHEK1, CHEK2","Cell cycle","AZD7762..GDSC2.1022.","Low_cal",0.36568037800921
"109",1022,"SANGER","AZD7762","AZD-7762, AZD 7762","CHEK1, CHEK2","Cell cycle","AZD7762..GDSC2.1022.","STAD_MSI",0.289151202813799
"110",1022,"SANGER","AZD7762","AZD-7762, AZD 7762","CHEK1, CHEK2","Cell cycle","AZD7762..GDSC2.1022.","STAD_GS",-0.105119129641422
"111",1032,"SANGER","Afatinib","BIBW2992, Tovok, Gilotrif","ERBB2, EGFR","EGFR signaling","afatinib..GDSC2.1032.","MSS_TP53pos",-0.179650508472782
"112",1032,"SANGER","Afatinib","BIBW2992, Tovok, Gilotrif","ERBB2, EGFR","EGFR signaling","afatinib..GDSC2.1032.","MSI",0.291373763438347
"113",1032,"SANGER","Afatinib","BIBW2992, Tovok, Gilotrif","ERBB2, EGFR","EGFR signaling","afatinib..GDSC2.1032.","STAD_EBV",0.123121837256392
"114",1032,"SANGER","Afatinib","BIBW2992, Tovok, Gilotrif","ERBB2, EGFR","EGFR signaling","afatinib..GDSC2.1032.","STAD_CIN",-0.247632374051778
"115",1032,"SANGER","Afatinib","BIBW2992, Tovok, Gilotrif","ERBB2, EGFR","EGFR signaling","afatinib..GDSC2.1032.","STAD_MSI",0.124896490011063
"116",1032,"SANGER","Afatinib","BIBW2992, Tovok, Gilotrif","ERBB2, EGFR","EGFR signaling","afatinib..GDSC2.1032.","MSS_TP53neg",-0.152884555758496
"117",1032,"SANGER","Afatinib","BIBW2992, Tovok, Gilotrif","ERBB2, EGFR","EGFR signaling","afatinib..GDSC2.1032.","High_cal",0.360878390299758
"118",1032,"SANGER","Afatinib","BIBW2992, Tovok, Gilotrif","ERBB2, EGFR","EGFR signaling","afatinib..GDSC2.1032.","EMT",0.183547807683025
"119",1032,"SANGER","Afatinib","BIBW2992, Tovok, Gilotrif","ERBB2, EGFR","EGFR signaling","afatinib..GDSC2.1032.","STAD_GS",0.219129224307752
"120",1032,"SANGER","Afatinib","BIBW2992, Tovok, Gilotrif","ERBB2, EGFR","EGFR signaling","afatinib..GDSC2.1032.","Low_cal",-0.360878390299758
"121",1036,"SANGER","PLX-4720","PLX4720, PLX 4720","BRAF","ERK MAPK signaling","PLX4720..GDSC2.1036.","MSS_TP53neg",-0.381344836632705
"122",1036,"SANGER","PLX-4720","PLX4720, PLX 4720","BRAF","ERK MAPK signaling","PLX4720..GDSC2.1036.","STAD_MSI",0.112534474167591
"123",1036,"SANGER","PLX-4720","PLX4720, PLX 4720","BRAF","ERK MAPK signaling","PLX4720..GDSC2.1036.","MSS_TP53pos",-0.180239188650121
"124",1036,"SANGER","PLX-4720","PLX4720, PLX 4720","BRAF","ERK MAPK signaling","PLX4720..GDSC2.1036.","STAD_CIN",-0.183733850504669
"125",1036,"SANGER","PLX-4720","PLX4720, PLX 4720","BRAF","ERK MAPK signaling","PLX4720..GDSC2.1036.","MSI",0.549154051543776
"126",1036,"SANGER","PLX-4720","PLX4720, PLX 4720","BRAF","ERK MAPK signaling","PLX4720..GDSC2.1036.","STAD_GS",-0.107633547341118
"127",1036,"SANGER","PLX-4720","PLX4720, PLX 4720","BRAF","ERK MAPK signaling","PLX4720..GDSC2.1036.","Low_cal",0.136204465193852
"128",1036,"SANGER","PLX-4720","PLX4720, PLX 4720","BRAF","ERK MAPK signaling","PLX4720..GDSC2.1036.","STAD_EBV",0.384707864489167
"129",1036,"SANGER","PLX-4720","PLX4720, PLX 4720","BRAF","ERK MAPK signaling","PLX4720..GDSC2.1036.","EMT",0.199754012399859
"130",1036,"SANGER","PLX-4720","PLX4720, PLX 4720","BRAF","ERK MAPK signaling","PLX4720..GDSC2.1036.","High_cal",-0.136204465193852
"131",1046,"SANGER","Wee1 Inhibitor","681640, Wee1 Inhibitor","WEE1, CHEK1","Cell cycle","Wee1.Inhibitor..GDSC2.1046.","MSS_TP53neg",0.168009696010316
"132",1046,"SANGER","Wee1 Inhibitor","681640, Wee1 Inhibitor","WEE1, CHEK1","Cell cycle","Wee1.Inhibitor..GDSC2.1046.","STAD_EBV",0.0503373253351512
"133",1046,"SANGER","Wee1 Inhibitor","681640, Wee1 Inhibitor","WEE1, CHEK1","Cell cycle","Wee1.Inhibitor..GDSC2.1046.","Low_cal",0.33462781616543
"134",1046,"SANGER","Wee1 Inhibitor","681640, Wee1 Inhibitor","WEE1, CHEK1","Cell cycle","Wee1.Inhibitor..GDSC2.1046.","STAD_CIN",0.0399792124486905
"135",1046,"SANGER","Wee1 Inhibitor","681640, Wee1 Inhibitor","WEE1, CHEK1","Cell cycle","Wee1.Inhibitor..GDSC2.1046.","STAD_GS",-0.476982309931053
"136",1046,"SANGER","Wee1 Inhibitor","681640, Wee1 Inhibitor","WEE1, CHEK1","Cell cycle","Wee1.Inhibitor..GDSC2.1046.","EMT",0.0674670605275831
"137",1046,"SANGER","Wee1 Inhibitor","681640, Wee1 Inhibitor","WEE1, CHEK1","Cell cycle","Wee1.Inhibitor..GDSC2.1046.","MSI",-0.103550682801707
"138",1046,"SANGER","Wee1 Inhibitor","681640, Wee1 Inhibitor","WEE1, CHEK1","Cell cycle","Wee1.Inhibitor..GDSC2.1046.","High_cal",-0.33462781616543
"139",1046,"SANGER","Wee1 Inhibitor","681640, Wee1 Inhibitor","WEE1, CHEK1","Cell cycle","Wee1.Inhibitor..GDSC2.1046.","MSS_TP53pos",-0.123971018278315
"140",1046,"SANGER","Wee1 Inhibitor","681640, Wee1 Inhibitor","WEE1, CHEK1","Cell cycle","Wee1.Inhibitor..GDSC2.1046.","STAD_MSI",0.199623837321121
"141",1048,"SANGER","Mirin","","MRE11","Genome integrity","mirin..GDSC2.1048.","EMT",0.142546867082855
"142",1048,"SANGER","Mirin","","MRE11","Genome integrity","mirin..GDSC2.1048.","Low_cal",0.0456122283528715
"143",1048,"SANGER","Mirin","","MRE11","Genome integrity","mirin..GDSC2.1048.","High_cal",-0.0456122283528715
"144",1048,"SANGER","Mirin","","MRE11","Genome integrity","mirin..GDSC2.1048.","MSS_TP53neg",0.0282163864426537
"145",1048,"SANGER","Mirin","","MRE11","Genome integrity","mirin..GDSC2.1048.","STAD_EBV",-0.134879414043537
"146",1048,"SANGER","Mirin","","MRE11","Genome integrity","mirin..GDSC2.1048.","MSI",-0.0394037042814099
"147",1048,"SANGER","Mirin","","MRE11","Genome integrity","mirin..GDSC2.1048.","STAD_CIN",0.106681114308291
"148",1048,"SANGER","Mirin","","MRE11","Genome integrity","mirin..GDSC2.1048.","STAD_MSI",-0.32923664054522
"149",1048,"SANGER","Mirin","","MRE11","Genome integrity","mirin..GDSC2.1048.","STAD_GS",0.469477290525718
"150",1048,"SANGER","Mirin","","MRE11","Genome integrity","mirin..GDSC2.1048.","MSS_TP53pos",-0.0868946864924914
"151",1051,"SANGER","Alisertib","MLN8237","AURKA","Mitosis","alisertib..GDSC2.1051.","Low_cal",0.040458701993819
"152",1051,"SANGER","Alisertib","MLN8237","AURKA","Mitosis","alisertib..GDSC2.1051.","MSI",0.102607085102194
"153",1051,"SANGER","Alisertib","MLN8237","AURKA","Mitosis","alisertib..GDSC2.1051.","STAD_CIN",0.410496649607164
"154",1051,"SANGER","Alisertib","MLN8237","AURKA","Mitosis","alisertib..GDSC2.1051.","STAD_EBV",-0.0911820145539255
"155",1051,"SANGER","Alisertib","MLN8237","AURKA","Mitosis","alisertib..GDSC2.1051.","EMT",-0.342888792296513
"156",1051,"SANGER","Alisertib","MLN8237","AURKA","Mitosis","alisertib..GDSC2.1051.","High_cal",-0.040458701993819
"157",1051,"SANGER","Alisertib","MLN8237","AURKA","Mitosis","alisertib..GDSC2.1051.","MSS_TP53pos",0.104835147210278
"158",1051,"SANGER","Alisertib","MLN8237","AURKA","Mitosis","alisertib..GDSC2.1051.","STAD_MSI",-0.371288837743262
"159",1051,"SANGER","Alisertib","MLN8237","AURKA","Mitosis","alisertib..GDSC2.1051.","STAD_GS",-0.0703154722608245
"160",1051,"SANGER","Alisertib","MLN8237","AURKA","Mitosis","alisertib..GDSC2.1051.","MSS_TP53neg",0.0937245825515377
"161",1053,"SANGER","MK-2206","MK 2206, MK2206","AKT1, AKT2","PI3K/MTOR signaling","MK.2206..GDSC2.1053.","MSI",0.130529440206166
"162",1053,"SANGER","MK-2206","MK 2206, MK2206","AKT1, AKT2","PI3K/MTOR signaling","MK.2206..GDSC2.1053.","Low_cal",-0.247710084785608
"163",1053,"SANGER","MK-2206","MK 2206, MK2206","AKT1, AKT2","PI3K/MTOR signaling","MK.2206..GDSC2.1053.","High_cal",0.247710084785608
"164",1053,"SANGER","MK-2206","MK 2206, MK2206","AKT1, AKT2","PI3K/MTOR signaling","MK.2206..GDSC2.1053.","STAD_GS",0.194384503560152
